"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"2989",592450,"Aaron Judge",2017,"2989","100.0","0.284","0.343","0.357","0.627","0.430","0.443","0.278","154","542","85.2","17.5","2266","88.8","88.23","429","1228","1756","-0.6","6.01","108","152","119","146","306","331","298"
"1911",502110,"J.D. Martinez",2017,"1911","100.0","0.303","0.387","0.327","0.690","0.430","0.430","0.294","131","432","83.9","16.0","2266","88.4","87.95","307","983","928","-0.5","5.96","108","151","116","147","305","327","301"
"2732",458015,"Joey Votto",2017,"2732","100.0","0.320","0.258","0.321","0.578","0.428","0.429","0.308","179","559","81.9","17.6","2177","89.1","88.78","176","1144","1577","-0.3","6.12","114","151","121","150","294","318","299"
"2127",545361,"Mike Trout",2017,"2127","100.0","0.306","0.323","0.318","0.629","0.437","0.425","0.286","123","402","82.2","20.7","2254","89.4","88.87","146","801","1319","-0.5","6.00","107","151","117","146","309","327","301"
"1929",518692,"Freddie Freeman",2017,"1929","100.0","0.307","0.280","0.335","0.586","0.407","0.411","0.292","135","440","84.4","19.7","2171","88.3","87.75","254","1020","902","-0.6","5.98","115","163","131","150","301","324","303"
"2030",457759,"Justin Turner",2017,"2030","100.0","0.322","0.208","0.326","0.530","0.400","0.410","0.306","147","457","83.9","21.5","2232","89.6","89.02","140","889","1122","-0.6","5.92","107","150","115","146","303","318","296"
"2474",443558,"Nelson Cruz",2017,"2474","100.0","0.288","0.261","0.315","0.549","0.385","0.407","0.287","160","556","85.0","15.3","2244","88.3","87.83","356","1167","1295","-0.5","6.02","107","151","119","146","303","325","297"
"2762",502671,"Paul Goldschmidt",2017,"2762","100.0","0.297","0.265","0.343","0.563","0.400","0.402","0.283","166","558","85.3","15.8","2251","89.0","88.43","300","1130","1624","-0.6","5.90","108","150","115","146","307","326","301"
"2591",475253,"Justin Smoak",2017,"2591","100.0","0.270","0.259","0.285","0.529","0.371","0.401","0.285","151","560","83.8","17.6","2227","87.7","87.19","262","1114","1475","-0.5","6.00","113","163","132","148","296","327","303"
"2723",519203,"Anthony Rizzo",2017,"2723","100.0","0.273","0.234","0.273","0.507","0.380","0.400","0.288","156","572","83.3","20.9","2195","89.3","88.99","231","1261","1433","-0.3","6.09","115","159","123","150","297","320","301"
"2870",429665,"Edwin Encarnacion",2017,"2870","100.0","0.258","0.245","0.271","0.504","0.373","0.399","0.274","143","554","83.7","17.8","2222","88.3","87.87","313","1233","1632","-0.4","6.01","108","151","118","144","298","324","300"
"1895",621043,"Carlos Correa",2017,"1895","100.0","0.316","0.235","0.352","0.551","0.394","0.399","0.308","133","421","85.8","12.5","2250","88.3","87.83","174","800","1093","-0.5","6.04","107","149","115","146","298","324","291"
"2736",519317,"Giancarlo Stanton",2017,"2736","100.0","0.281","0.350","0.288","0.631","0.411","0.397","0.270","168","597","85.6","16.8","2221","89.2","88.58","373","1174","1553","-0.6","6.04","107","152","120","145","309","327","303"
"2099",518626,"Josh Donaldson",2017,"2099","100.0","0.270","0.289","0.289","0.559","0.396","0.396","0.261","112","415","83.3","16.6","2241","88.6","88.19","243","885","1211","-0.4","6.05","108","152","117","146","302","328","299"
"2591",501981,"Khris Davis",2017,"2591","100.0","0.247","0.281","0.290","0.528","0.361","0.394","0.264","140","566","85.0","20.4","2234","88.3","87.82","412","1222","1361","-0.5","5.99","107","151","116","146","304","326","296"
"1967",547180,"Bryce Harper",2017,"1967","100.0","0.319","0.276","0.356","0.595","0.416","0.390","0.287","134","420","83.2","16.8","2171","89.1","88.77","259","964","999","-0.3","6.12","115","150","121","150","300","322","304"
"2222",475582,"Ryan Zimmerman",2017,"2222","100.0","0.303","0.269","0.335","0.573","0.388","0.389","0.293","159","524","85.8","15.7","2214","88.8","88.36","240","985","1234","-0.4","6.11","108","151","116","147","303","321","298"
"2031",596142,"Gary Sanchez",2017,"2031","100.0","0.278","0.253","0.304","0.531","0.368","0.388","0.290","131","471","83.3","17.1","2249","88.3","87.74","276","972","1049","-0.6","5.99","107","152","117","146","301","326","296"
"2240",608369,"Corey Seager",2017,"2240","100.0","0.295","0.184","0.352","0.479","0.364","0.388","0.299","159","539","84.0","13.9","2187","88.8","88.14","306","1123","1113","-0.7","5.90","115","151","117","151","297","318","303"
"1828",624424,"Michael Conforto",2017,"1828","100.0","0.279","0.276","0.328","0.555","0.392","0.386","0.262","104","373","83.8","17.5","2203","88.2","87.75","228","783","1037","-0.4","6.06","116","155","121","151","294","321","302"
"1858",474832,"Brandon Belt",2017,"1858","100.0","0.241","0.228","0.284","0.469","0.352","0.385","0.264","92","382","81.9","21.8","2206","88.4","87.78","209","842","1003","-0.6","5.98","115","160","125","147","296","323","304"
"2045",408234,"Miguel Cabrera",2017,"2045","100.0","0.249","0.149","0.292","0.399","0.313","0.384","0.290","117","469","84.5","17.4","2262","88.9","88.59","237","1028","1014","-0.3","6.08","108","151","118","147","304","328","299"
"2764",572761,"Matt Carpenter",2017,"2764","100.0","0.241","0.209","0.274","0.451","0.361","0.383","0.253","120","497","83.6","23.9","2172","88.9","88.56","186","943","1800","-0.3","6.00","118","156","116","151","297","319","300"
"2550",543807,"George Springer",2017,"2550","100.0","0.283","0.239","0.297","0.522","0.376","0.382","0.281","155","548","81.8","14.4","2241","88.7","88.24","266","1141","1398","-0.5","6.00","108","151","113","146","298","324","293"
"2266",519048,"Mitch Moreland",2017,"2266","100.0","0.246","0.197","0.278","0.443","0.326","0.380","0.277","125","508","84.2","17.7","2215","88.4","87.73","271","1051","1206","-0.7","5.95","115","164","131","148","287","323","306"
"1744",571506,"Justin Bour",2017,"1744","100.0","0.289","0.247","0.322","0.536","0.374","0.380","0.285","109","377","83.1","17.5","2188","88.9","88.20","219","779","963","-0.7","6.03","115","163","125","152","302","323","302"
"2601",408045,"Joe Mauer",2017,"2601","100.0","0.305","0.112","0.349","0.417","0.349","0.380","0.313","160","525","85.1","11.5","2214","89.6","89.11","122","948","1646","-0.5","6.06","113","150","113","149","287","317","303"
"2242",608336,"Joey Gallo",2017,"2242","100.0","0.209","0.327","0.250","0.537","0.364","0.377","0.219","94","449","85.0","24.4","2207","87.6","87.22","458","1056","1177","-0.4","6.04","116","163","134","151","302","329","304"
"2605",592206,"Nicholas Castellanos",2017,"2605","100.0","0.272","0.218","0.313","0.490","0.341","0.377","0.290","167","614","83.0","16.5","2240","88.1","87.79","358","1333","1266","-0.3","6.07","109","152","115","146","301","325","293"
"2884",453568,"Charlie Blackmon",2017,"2884","100.0","0.331","0.271","0.371","0.602","0.415","0.376","0.287","213","643","82.1","16.2","2193","88.8","88.43","252","1334","1537","-0.4","5.96","117","149","105","151","302","326","306"
"2077",475174,"Yonder Alonso",2017,"2077","100.0","0.267","0.236","0.302","0.502","0.366","0.376","0.269","120","450","83.0","20.4","2226","87.7","87.09","255","976","1096","-0.6","5.93","116","158","121","152","293","321","300"
"2120",502054,"Tommy Pham",2017,"2120","100.0","0.306","0.214","0.368","0.520","0.398","0.375","0.272","136","444","83.2","10.7","2239","88.8","88.45","168","802","1305","-0.4","6.03","110","150","110","147","303","318","293"
"2645",543685,"Anthony Rendon",2017,"2645","100.0","0.301","0.232","0.314","0.533","0.394","0.375","0.276","153","508","83.9","21.4","2221","89.1","88.65","152","1068","1568","-0.5","6.10","109","151","113","147","300","316","293"
"2652",592178,"Kris Bryant",2017,"2652","100.0","0.295","0.242","0.334","0.537","0.399","0.375","0.254","162","549","81.4","18.1","2196","89.4","89.03","290","1205","1432","-0.4","6.09","107","152","115","145","301","320","296"
"2545",425783,"Shin-Soo Choo",2017,"2545","100.0","0.261","0.162","0.305","0.423","0.339","0.374","0.274","142","544","83.2","12.4","2210","88.4","88.06","246","1062","1466","-0.3","6.07","114","150","110","149","290","320","302"
"2584",476704,"Jed Lowrie",2017,"2584","100.0","0.277","0.171","0.314","0.448","0.347","0.374","0.294","157","567","82.0","21.5","2203","89.0","88.60","233","1242","1337","-0.4","6.02","113","151","111","148","288","317","295"
"2627",571448,"Nolan Arenado",2017,"2627","100.0","0.309","0.277","0.320","0.586","0.395","0.373","0.281","187","606","83.6","20.9","2238","88.8","88.41","295","1266","1356","-0.4","5.98","107","151","115","146","309","328","305"
