"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1494",605141,"Mookie Betts","1494","100.0","0.354","0.328","0.353","0.682","0.463","0.480","0.335","108","305","87.7","20.6","2217","88.8","88.20","77","529","960","-0.6","5.96","108","152","115","146","292","323","299"
"1620",502110,"J.D. Martinez","1620","100.0","0.325","0.314","0.369","0.639","0.427","0.454","0.324","116","357","86.3","14.3","2232","88.7","88.09","234","828","789","-0.6","5.94","107","152","119","146","297","327","302"
"1203",571970,"Max Muncy","1203","100.0","0.276","0.333","0.289","0.610","0.426","0.447","0.288","63","228","86.5","20.5","2216","88.5","88.03","106","421","779","-0.5","5.98","115","155","120","150","296","318","306"
"1681",572761,"Matt Carpenter","1681","100.0","0.274","0.302","0.309","0.576","0.401","0.435","0.294","90","328","85.7","20.8","2165","89.4","89.09","146","610","1060","-0.3","6.07","118","161","113","152","299","322","303"
"1812",545361,"Mike Trout","1812","100.0","0.307","0.292","0.341","0.599","0.432","0.433","0.292","104","339","84.6","21.9","2258","89.4","88.80","122","679","1127","-0.6","5.97","107","152","117","145","308","326","300"
"1686",458015,"Joey Votto","1686","100.0","0.289","0.152","0.332","0.442","0.379","0.433","0.323","99","342","83.8","17.2","2192","89.2","88.83","118","665","1015","-0.4","5.99","113","149","120","149","292","317","300"
"1765",608324,"Alex Bregman","1765","100.0","0.285","0.248","0.289","0.533","0.394","0.419","0.305","107","375","85.8","20.2","2246","88.4","87.86","97","669","1090","-0.5","6.03","106","151","113","145","296","320","287"
"1304",443558,"Nelson Cruz","1304","100.0","0.268","0.268","0.272","0.536","0.379","0.415","0.301","78","291","88.8","18.0","2306","88.0","87.33","182","604","689","-0.7","5.90","107","152","119","146","300","322","295"
"1362",543685,"Anthony Rendon","1362","100.0","0.285","0.237","0.300","0.522","0.367","0.414","0.314","84","295","86.4","22.6","2219","89.1","88.61","94","644","718","-0.5","5.96","108","151","114","146","303","319","293"
"1835",608070,"Jose Ramirez","1835","100.0","0.302","0.332","0.279","0.635","0.427","0.413","0.299","110","364","86.3","18.6","2233","88.2","87.71","107","744","1085","-0.5","5.98","113","148","113","147","290","317","296"
"1744",596019,"Francisco Lindor","1744","100.0","0.292","0.269","0.302","0.560","0.391","0.412","0.305","114","391","85.2","18.6","2218","88.4","88.02","162","813","921","-0.4","5.99","114","148","106","148","290","317","296"
"1359",553993,"Eugenio Suarez","1359","100.0","0.315","0.258","0.349","0.573","0.408","0.412","0.304","95","302","85.4","17.4","2233","88.9","88.53","147","625","728","-0.4","6.00","107","150","115","144","302","318","292"
"1575",518692,"Freddie Freeman","1575","100.0","0.316","0.218","0.366","0.534","0.395","0.410","0.304","116","367","84.6","16.5","2179","88.6","88.17","202","857","715","-0.4","5.96","117","162","131","150","298","323","304"
"1825",592450,"Aaron Judge","1825","100.0","0.281","0.264","0.371","0.545","0.397","0.409","0.280","100","356","88.9","15.0","2266","88.7","88.13","258","716","1106","-0.6","5.96","107","153","121","147","307","328","295"
"1745",425783,"Shin-Soo Choo","1745","100.0","0.294","0.209","0.351","0.503","0.391","0.407","0.282","104","354","84.2","14.3","2227","88.5","87.97","174","697","1040","-0.5","5.98","115","151","109","151","289","320","302"
"1398",474832,"Brandon Belt","1398","100.0","0.287","0.193","0.333","0.480","0.366","0.407","0.290","85","296","80.9","23.2","2221","88.6","88.00","168","664","726","-0.6","5.88","114","160","126","147","294","325","304"
"1420",500874,"Jose Martinez","1420","100.0","0.299","0.179","0.324","0.478","0.363","0.403","0.315","95","318","86.1","11.6","2215","89.0","88.70","115","601","817","-0.3","6.07","110","151","116","147","308","324","298"
"1494",592518,"Manny Machado","1494","100.0","0.318","0.258","0.314","0.576","0.400","0.402","0.308","117","368","86.4","19.7","2250","88.8","88.29","146","713","780","-0.5","6.01","106","151","118","146","301","324","294"
"1090",519048,"Mitch Moreland","1090","100.0","0.273","0.219","0.314","0.492","0.356","0.399","0.288","70","256","86.9","13.0","2204","88.0","87.40","132","504","585","-0.6","5.95","114","158","125","151","284","321","307"
"1388",542583,"Jesus Aguilar","1388","100.0","0.297","0.330","0.328","0.627","0.415","0.399","0.273","82","276","85.4","19.3","2236","89.2","88.76","184","638","746","-0.4","6.00","108","150","115","146","307","324","298"
"943",650402,"Gleyber Torres","943","100.0","0.294","0.261","0.340","0.555","0.379","0.398","0.293","64","218","83.5","22.0","2269","87.8","87.28","148","465","475","-0.5","5.98","109","153","116","148","300","318","285"
"1006",465041,"Francisco Cervelli","1006","100.0","0.243","0.217","0.274","0.460","0.362","0.398","0.252","46","189","85.0","18.7","2186","88.8","88.25","105","382","615","-0.6","5.98","108","150","113","145","303","315","287"
"797",572041,"A.J. Pollock","797","100.0","0.304","0.288","0.333","0.592","0.396","0.398","0.297","58","191","84.1","17.6","2261","88.6","87.95","83","385","408","-0.6","5.92","104","150","113","144","305","321","297"
"1827",502671,"Paul Goldschmidt","1827","100.0","0.278","0.250","0.350","0.528","0.386","0.397","0.269","100","360","84.8","20.0","2272","88.9","88.31","209","758","1064","-0.6","5.97","108","151","118","146","311","326","302"
"1488",592206,"Nicholas Castellanos","1488","100.0","0.304","0.210","0.367","0.514","0.371","0.396","0.306","116","381","84.1","18.1","2231","88.5","87.95","251","818","665","-0.6","5.98","109","152","117","146","300","324","293"
"1451",593428,"Xander Bogaerts","1451","100.0","0.283","0.248","0.305","0.532","0.371","0.395","0.291","89","314","86.2","15.4","2238","88.2","87.62","135","628","818","-0.6","5.95","109","151","115","146","290","318","293"
"1098",434778,"Kendrys Morales","1098","100.0","0.241","0.187","0.275","0.427","0.313","0.392","0.289","58","241","87.3","12.7","2210","88.0","87.28","135","482","616","-0.7","5.90","114","164","127","152","293","324","302"
